ids,w2clsids,schids,ctyids,w2frame,w2subsample,w2cogscore,w2cog3pl,w2chn,w2upchn,w2mat,w2upmat,w2eng,w2upeng,w2a01,w2a02,w2a03,w2a05,w2a0701,w2a0702,w2a0703,w2a0704,w2a0705,w2a0706,w2a0707,w2a0708,w2a0801,w2a0801a,w2a0802,w2a0802a,w2a0802b,w2a0802c01,w2a0802c02,w2a0802c03,w2a0803,w2a0803a,w2a0804,w2a0804a,w2a16,w2a17,w2a2001,w2a2002,w2a2003,w2a2004,w2a2005,w2a2006,w2a2101a,w2a2101b,w2a2102a,w2a2102b,w2a2103a,w2a2103b,w2a2104a,w2a2104b,w2a22,w2a23,w2a24,w2a27,w2a28,w2a29,w2a30,w2a31,w2a32,w2b1401,w2b1402,w2b1403,w2b1404,w2b1405,w2b1406,w2b15,w2b16,w2b18,w2b19,w2b20,w2b21,,w2ba01,w2ba0201,w2ba0202,w2ba0203,w2ba0204,w2ba0205,w2ba0206,w2ba0207,w2ba0208,w2ba11,w2ba12,w2ba13,w2ba1400,w2ba1401,w2ba1401a,w2ba1402,w2ba1402a,w2ba1403,w2ba1403a,w2ba1404,w2ba1404a,w2ba1405,w2ba1405a,w2ba1500,w2ba1501,w2ba1501a,w2ba1502,w2ba1502a,w2ba1503,w2ba1503a,w2ba1504,w2ba1504a,w2ba1505,w2ba1505a,w2ba1600,w2ba1601,w2ba1601a,w2ba1602,w2ba1602a,w2ba1603,w2ba1603a,w2ba1604,w2ba1604a,w2ba1605,w2ba1605a,w2ba1701,w2ba1702,w2ba1703,w2ba1704,w2ba1705,w2ba1706,w2ba18,w2ba21,w2ba22,w2ba24,w2ba2601,w2ba2602,w2ba2603,w2ba2604,w2ba29,w2ba30,w2ba31,w2ba32,w2bb1401,w2bb1402,w2bb1403,w2bb1404,w2bb1405,w2bb1406,w2bb1407,w2bb15,w2bb16,w2bb17,w2bb18,w2bb19,w2bb20,w2bc01a,w2bc0201,w2bc0202,w2bc0203,w2bc0203a,w2bc0204,w2bc0205,w2bc09,w2bd01,w2bd02,w2be02,w2be03,w2be04,w2be06,w2be07,w2be08,w2be09,w2be11,w2be12,w2be13,w2be15,w2be16,w2be17,w2be18,w2be23,w2be24,w2be25,w2be33,w2be34,w2be35,w2be36
3699,93,24,6,1,1,16,-0.360632986,73,120,57,120,71,120,1,3,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,3,3,3,3,3,2,2,1,1,2,2,1,1,3,3,6,2,7,2,3,3,3,1,0,0,0,0,0,2,1,7,3,3,3,,2,1,1,0,0,0,0,0,0,6,1,1,0,1,24,1,24,0,,0,,0,,0,1,24,1,24,0,,0,,0,,0,1,2,1,2,0,,0,,0,,2,2,2,2,2,2,4,2,,1,3,3,3,3,6,3,3,3,1,1,0,1,0,1,0,3,3,3,3,1,1,200,1,0,0,,0,0,2,1,3,1,1,3,1,1,3,1,1,1,3,1,3,3,13,3,2,3,1,4,1,2
3700,93,24,6,1,1,13,-0.858816028,58,120,82,120,22,120,1,1,1,2,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,6,2,6,5,3,8,3,0,0,0,1,0,0,2,1,3,4,3,2,,1,1,1,0,0,0,0,0,0,6,1,1,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,2,2,2,2,2,2,4,2,0,0,2,2,2,2,3,2,3,3,0,1,0,0,0,0,0,3,3,3,3,1,1,0,,,,,,,4,1,1,1,1,1,1,1,3,12,1,1,1,1,1,3,12,3,2,3,5,4,1,2
3701,93,24,6,1,1,15,-0.224882007,79,120,85,120,19,120,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,2,4,2,7,5,7,5,2,0,0,1,0,0,0,2,1,7,7,5,2,,2,1,1,0,0,0,0,0,0,6,1,1,0,0,,1,3,0,,0,,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,2,2,1,2,2,2,3,2,0,1,2,1,1,1,7,7,5,2,1,1,0,1,0,1,0,3,2,3,3,1,1,400,0,0,0,,0,1,1,1,1,1,1,1,1,3,3,8,1,1,1,1,3,3,12,3,2,2,1,4,1,1
3703,93,24,6,1,1,20,0.188179001,96,120,104,120,98,120,1,2,1,2,1,1,0,0,1,0,0,0,1,1,0,,,,,,0,,0,,1,1,3,2,3,2,3,2,2,1,2,2,2,1,1,2,2,3,6,2,6,4,9,5,2,0,0,1,0,1,0,2,5,7,9,5,3,,1,1,1,0,0,1,0,0,0,6,1,1,0,1,1,1,3,0,,0,,0,,1,0,,0,,0,,0,,0,,0,0,,0,,1,2,0,,0,,3,2,3,2,3,2,4,2,0,1,2,2,2,1,6,9,5,3,1,1,0,0,1,1,1,3,3,3,3,1,1,0,1,0,0,,0,0,1,1,2,1,1,2,1,3,3,9,1,1,1,1,3,2,9,3,2,3,1,1,1,1
3704,93,24,6,1,1,16,-0.517530024,62,120,62,120,81,120,1,2,1,1,0,0,0,0,0,1,1,0,1,1,0,,,,,,0,,0,,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,6,4,6,3,3,5,3,0,0,0,0,1,1,2,7,7,3,5,3,,5,0,0,0,0,0,1,1,0,6,1,1,0,0,,0,,0,,1,6,1,6,1,0,,0,,0,,0,,0,,0,0,,0,,0,,1,4,1,2,2,2,1,2,1,1,4,2,0,,1,1,1,1,7,4,5,3,1,0,0,0,1,1,0,3,3,3,3,3,2,0,1,0,0,,0,0,,1,2,1,1,2,1,1,5,12,1,1,2,1,3,6,12,4,1,4,1,4,1,2
3705,93,24,6,1,1,9,-1.162937999,50,120,27,120,25,120,1,1,1,1,1,0,0,0,0,0,0,0,0,,1,2008,1,0,1,0,0,,0,,1,2,2,1,2,2,3,2,2,2,2,1,1,2,1,1,2,2,3,2,10,1,1,5,2,0,0,1,0,0,0,1,7,9,1,5,1,,1,0,1,0,0,0,0,0,0,2,1,2,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,1,2,2,3,3,1,1,1,0,1,1,2,1,2,3,1,5,1,0,1,0,0,0,0,0,1,2,2,2,1,2,0,1,0,0,,0,0,,1,1,1,1,1,,1,8,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1
3706,93,24,6,1,1,19,0.282139987,76,120,80,120,94,120,1,1,1,2,1,1,0,0,1,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,2,2,2,3,3,2,2,1,2,1,1,2,2,3,3,6,2,9,4,14,6,3,0,0,0,0,1,0,2,7,9,1,6,2,,2,1,1,0,0,1,0,0,0,6,3,4,0,1,1,1,4,0,,0,,0,,0,1,1,1,1,0,,0,,0,,1,0,,0,,0,,0,,0,,3,2,2,1,2,1,4,2,0,2,2,1,1,1,9,1,6,3,1,0,0,1,0,1,1,3,3,3,3,1,1,0,0,0,0,,0,1,,1,1,1,1,1,1,1,9,13,1,1,1,1,3,9,13,4,2,3,1,3,1,2
3707,93,24,6,1,1,17,-0.944068015,57,120,31,120,24,120,1,3,1,2,1,1,0,0,1,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,1,1,1,3,2,1,1,1,2,2,2,3,3,3,3,6,2,9,5,2,5,2,0,0,1,0,1,0,2,1,9,2,5,2,,1,1,1,0,0,0,0,0,0,6,1,1,0,1,1,1,2,1,3,0,,0,,1,0,,0,,0,,0,,0,,0,1,3,1,2,1,3,0,,0,,2,1,1,1,3,2,4,2,0,1,1,1,2,3,9,2,5,2,1,1,0,0,0,1,0,3,3,3,3,1,1,,1,0,0,,0,0,,1,3,1,1,3,1,3,2,10,1,1,3,1,3,2,10,2,2,2,5,7,1,2
3708,93,24,6,1,1,15,-0.645766973,70,120,54,120,59,120,2,1,1,1,0,1,0,0,0,0,0,0,0,,1,2011,1,0,0,1,0,,0,,2,2,3,3,2,2,3,3,3,2,2,2,2,2,1,2,2,2,2,2,9,5,1,5,2,1,0,1,0,0,0,2,1,9,3,5,1,,2,0,1,0,0,0,0,0,0,6,1,1,0,0,,1,4,0,,0,,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,3,3,2,2,3,3,2,2,0,1,2,2,2,2,9,3,5,1,1,0,0,1,1,1,1,3,3,3,3,1,1,540,0,0,0,,0,1,3,1,3,1,2,3,2,3,6,12,1,2,1,,3,2,10,3,1,1,,,,
3709,93,24,6,1,1,34,1.611786008,96,120,107,120,104,120,1,2,1,1,1,1,0,0,0,1,0,0,1,1,0,,,,,,0,,0,,2,1,3,2,2,2,3,3,2,2,2,2,2,2,2,3,3,3,6,2,8,2,3,4,3,1,0,1,0,0,0,2,1,8,3,4,3,,1,1,1,0,0,0,1,0,0,6,2,2,0,1,1,1,1,0,,1,1,0,,0,0,,1,1,0,,0,,0,,0,0,,0,,0,,1,1,0,,3,3,2,2,3,3,4,2,0,,3,2,2,3,8,3,4,3,1,1,0,0,0,1,0,3,3,3,3,1,1,0,1,0,0,,0,0,,1,2,1,1,2,1,3,3,8,1,1,2,1,3,3,7,3,2,3,2,4,1,2
3710,93,24,6,1,1,25,0.577506006,77,120,97,120,85,120,1,2,1,1,1,0,0,0,0,1,0,0,0,,1,2008,1,0,1,0,0,,0,,1,2,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,3,5,2,6,4,1,5,3,0,0,1,0,1,0,2,1,6,4,5,3,,1,1,0,0,0,0,1,0,0,5,1,1,0,0,,0,,0,,1,5,0,,0,0,,0,,0,,1,2,0,,1,0,,0,,0,,0,,0,,3,3,2,3,3,3,3,2,0,1,2,2,2,2,6,1,5,3,1,1,0,0,1,1,0,3,3,3,3,1,1,300,0,0,0,,0,1,1,1,2,1,1,2,1,3,3,8,1,1,2,1,3,3,7,2,1,3,4,1,1,
3711,93,24,6,1,1,22,0.469752997,70,120,83,120,86,120,2,1,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,6,2,9,5,1,6,4,0,0,0,0,1,0,2,5,9,1,6,3,,1,0,1,0,0,0,0,0,0,6,1,1,1,0,,0,,0,,0,,0,,0,1,2,0,,0,,0,,0,,0,1,2,0,,0,,0,,0,,3,3,2,2,2,2,4,2,0,1,2,2,2,2,9,1,6,4,0,0,0,0,0,1,0,3,3,3,3,1,1,0,1,0,0,,0,0,1,2,1,1,1,1,1,3,3,12,1,1,1,,3,3,12,3,2,3,5,7,1,2
3712,93,24,6,1,1,24,0.752620995,70,120,95,120,63,120,1,1,1,1,0,0,0,0,0,1,0,0,1,2,0,,,,,,0,,0,,2,1,3,3,3,3,3,3,2,2,3,2,3,3,2,2,3,3,6,2,7,4,4,5,3,1,0,1,1,0,0,2,1,7,3,5,3,,7,1,1,0,0,0,1,0,0,5,3,1,0,1,3,1,3,0,,1,3,0,,0,1,2,1,2,0,,1,2,0,,0,1,3,0,,0,,0,,0,,3,3,2,2,3,3,4,,0,0,2,2,3,2,7,3,5,3,1,1,0,1,0,1,1,3,3,3,3,1,1,0,1,0,0,,0,0,3,1,1,1,1,1,1,3,3,8,1,1,1,1,3,3,8,3,2,3,5,7,1,2
3713,93,24,6,1,1,29,1.250795007,92,120,93,120,101,120,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,6,2,8,2,1,5,3,0,0,1,0,1,0,2,1,8,2,5,3,,2,1,1,0,0,0,0,0,0,6,2,2,0,1,1,1,1,0,,0,,0,,0,1,1,0,,0,,0,,0,,0,0,,1,1,0,,0,,0,,3,2,2,2,3,3,1,2,0,1,2,2,2,2,8,1,5,3,1,1,0,0,0,1,0,2,3,3,3,1,1,0,1,0,0,,0,0,1,1,1,1,1,1,1,3,6,12,1,1,1,1,3,2,12,3,2,3,2,4,1,2
3714,93,24,6,1,1,31,1.09454,87,120,106,120,102,120,1,3,1,1,1,1,0,0,0,1,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,3,2,2,8,3,2,4,4,0,0,0,0,1,1,2,5,8,2,3,4,,1,1,1,0,0,0,0,0,0,6,2,2,0,0,,1,3,0,,1,5,0,,1,0,,0,,0,,0,,0,,0,0,,1,4,0,,0,,0,,2,2,2,2,2,2,2,1,6000,1,2,2,2,2,8,3,5,4,1,1,1,1,0,1,0,3,2,3,3,1,1,700,1,0,0,,0,0,,1,3,1,1,3,1,1,8,4,1,1,2,1,3,3,7,3,2,3,2,4,1,2
3715,93,24,6,1,1,22,0.388727009,86,120,109,120,100,120,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,,,,,,0,,0,,2,1,3,3,2,2,1,1,2,2,2,2,1,1,2,2,2,2,4,4,7,3,2,5,4,1,0,1,0,1,0,1,6,8,2,5,4,,1,1,1,0,0,0,1,0,0,4,3,1,0,0,,0,,0,,0,,1,5,1,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,1,1,3,3,2,2,1,1,4,2,0,1,2,2,2,1,7,2,5,4,1,1,1,1,0,1,0,3,2,3,3,1,1,0,1,0,0,,0,0,2,1,1,1,2,1,1,3,3,10,1,2,1,2,3,3,10,3,1,3,5,7,1,1
3716,93,24,6,1,1,28,1.197121024,90,120,105,120,102,120,1,2,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,3,2,2,3,2,2,3,1,3,1,2,2,3,2,3,6,2,7,3,14,8,4,1,0,1,0,0,0,2,1,7,3,5,4,,2,1,1,0,0,0,0,0,0,6,1,1,0,1,1,1,1,0,,0,,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,3,3,2,2,3,3,4,2,0,2,3,2,2,3,7,3,4,4,1,1,1,1,0,1,0,3,3,3,3,1,1,0,1,0,0,,0,0,,1,2,1,1,1,1,3,3,14,1,1,1,1,3,3,7,3,2,3,1,3,1,2
3717,93,24,6,1,1,17,-0.926789999,23,120,20,120,25,120,1,2,1,1,0,1,1,0,0,0,0,0,0,,1,2007,1,0,1,0,0,,0,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,6,4,5,3,1,4,3,0,0,0,1,0,0,2,1,5,1,4,3,,2,0,1,1,0,0,0,0,0,6,2,2,0,0,,1,7,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,4,2,,1,2,2,2,2,4,1,4,3,1,1,1,1,1,1,1,2,2,2,2,2,2,0,1,0,1,,0,0,1,1,2,1,1,2,1,3,3,11,1,1,2,1,3,3,5,3,1,3,,,,
3719,93,24,6,1,1,25,0.828408003,79,120,82,120,84,120,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,2,3,2,3,2,1,3,2,3,1,3,1,3,3,3,6,2,8,3,3,7,3,0,0,0,0,1,0,2,1,8,3,7,3,,2,1,1,0,0,0,0,0,0,6,2,1,0,0,,1,1,0,,0,,0,,0,0,,1,3,0,,0,,0,,1,0,,0,,0,,0,,0,,3,2,3,2,2,2,4,2,0,2,3,3,3,3,8,4,7,4,1,1,1,1,0,1,1,2,2,3,3,1,1,0,1,0,0,,0,0,,1,1,3,1,1,1,1,2,9,1,1,1,1,1,4,13,3,2,3,1,3,1,2
3720,93,24,6,1,1,23,0.441047013,90,120,98,120,101,120,1,1,1,2,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,5,2,7,3,14,5,3,1,0,1,0,1,0,2,6,7,6,5,3,,2,1,1,0,0,0,0,0,0,5,2,1,0,1,7,1,2,0,,0,,0,,0,1,4,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,3,2,2,2,1,2,4,2,0,1,2,2,2,1,7,4,2,3,1,1,0,1,0,1,0,,,,,,,0,1,0,0,,0,0,,1,1,1,1,1,1,3,6,10,1,1,1,1,3,2,10,3,2,3,5,7,1,1
3721,93,24,6,1,1,14,-0.408095002,83,120,97,120,88,120,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,1,2,2,3,3,2,3,,1,3,3,2,3,2,3,6,3,6,,10,8,3,0,0,1,0,1,0,2,1,10,13,7,3,,2,1,1,0,0,0,0,0,0,6,1,1,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,3,2,2,2,2,2,2,2,0,1,2,2,3,3,6,13,7,3,1,1,0,1,0,0,0,3,3,3,3,1,1,0,1,0,0,,0,0,5,1,4,1,1,1,1,3,3,10,1,1,1,1,3,3,10,3,2,3,4,4,1,2
3722,93,24,6,1,1,24,0.240936995,46,120,9,120,29,120,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,1,1,2,1,1,1,2,2,1,1,2,2,1,1,2,2,3,3,6,4,6,2,5,5,4,1,0,1,0,1,0,1,1,3,5,5,3,,2,1,1,0,0,0,0,0,0,6,1,1,0,1,,1,,0,,0,,0,,1,0,,0,,0,,0,,0,,1,0,,1,,0,,0,,0,,2,2,2,1,2,2,4,1,700,1,1,2,2,2,6,5,5,4,1,0,1,1,0,0,0,3,3,3,3,1,1,100,0,0,0,,0,1,,1,1,1,1,1,1,3,3,9,1,1,1,1,3,3,10,3,2,3,1,7,1,1
3723,93,24,6,1,1,22,0.034960002,85,120,80,120,93,120,1,2,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,2,2,2,2,1,2,1,3,1,1,1,2,3,3,6,2,7,1,1,3,3,1,0,0,0,1,0,2,1,6,1,2,3,,2,1,1,0,0,0,0,0,0,6,1,1,0,1,1,1,3,0,,0,,0,,0,1,2,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,2,2,2,2,2,2,1,2,0,2,2,2,1,2,7,4,2,3,1,1,0,1,0,1,0,3,3,3,3,1,1,235,0,0,0,,0,1,4,1,2,1,1,2,1,1,6,4,1,1,1,1,3,7,4,3,1,3,1,1,1,2
3724,93,24,6,1,1,23,0.362978995,86,120,99,120,96,120,1,1,1,2,1,1,0,0,1,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,2,7,3,3,3,3,0,0,1,0,1,0,2,1,6,2,4,2,,2,1,1,0,0,1,0,0,0,5,1,3,0,0,,0,,0,,1,4,0,,1,0,,0,,0,,0,,0,,0,1,1,0,,0,,0,,0,,2,2,2,2,2,3,2,2,0,1,2,2,2,2,6,4,3,3,1,1,0,1,0,1,1,3,3,3,3,1,1,372,1,0,0,,0,0,,1,,1,1,1,1,3,3,12,1,1,1,1,3,3,12,3,2,4,5,7,1,2
3725,93,24,6,1,1,18,0.011659,83,120,71,120,99,120,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,2,1,3,3,3,2,2,1,2,1,1,1,2,2,3,6,2,8,4,1,6,4,1,0,1,0,1,0,2,1,9,2,6,4,,1,1,1,0,0,0,0,0,0,6,1,1,0,1,2,1,3,0,,0,,0,,1,0,,0,,0,,0,,0,,0,0,,1,2,0,,0,,0,,3,3,1,1,3,3,4,2,0,1,1,1,2,2,9,1,6,4,0,0,0,1,0,1,1,2,2,3,3,1,1,0,1,0,0,,0,0,,1,1,1,1,1,1,3,3,10,1,1,1,1,3,3,10,3,2,3,1,4,1,2
3726,93,24,6,1,1,21,-0.034637,87,120,69,120,78,120,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,6,2,7,4,1,5,2,0,0,0,0,1,0,2,1,7,4,5,2,,1,0,0,0,0,0,1,0,0,6,1,1,0,1,2,1,2,0,,1,6,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,2,2,1,1,1,2,4,2,0,1,2,2,2,1,7,1,5,2,1,1,0,0,0,0,1,3,2,3,3,1,1,0,1,0,0,,0,0,,1,1,1,1,1,1,3,3,10,1,1,1,1,3,2,7,3,2,3,2,4,1,2
3727,93,24,6,1,1,32,1.266420007,85,120,69,120,101,120,1,1,1,2,1,1,0,0,1,0,0,0,1,1,0,,,,,,0,,0,,1,1,3,3,3,3,3,3,2,2,1,1,2,2,1,1,2,3,4,2,9,4,1,5,2,1,0,1,0,1,0,2,1,8,6,5,3,,2,1,1,0,0,1,0,0,0,4,1,1,0,1,6,1,7,0,,0,,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,3,3,3,3,3,3,4,2,100,1,2,2,2,2,9,1,5,3,1,1,0,0,0,1,1,3,3,3,3,1,1,100,0,0,0,,0,1,4,1,1,1,1,1,1,3,6,10,1,1,1,1,3,6,10,3,2,3,5,7,1,2
3728,93,24,6,1,1,14,-0.859305978,67,120,23,120,25,120,1,1,2,1,0,0,0,0,0,0,0,1,0,,1,2006,1,1,1,0,0,,0,,2,2,2,1,2,1,1,1,2,2,1,1,3,3,1,1,2,2,1,4,10,1,13,5,2,0,0,0,1,0,0,2,1,10,9,5,4,,2,0,0,0,0,0,0,0,1,1,1,1,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,2,2,2,2,2,2,4,2,0,1,2,2,2,2,2,1,5,4,1,0,0,0,0,0,0,3,3,1,2,1,2,0,1,0,0,,0,0,1,1,1,1,,1,1,3,7,1,1,1,1,1,1,5,1,3,1,3,2,2,1,2
3729,93,24,6,1,1,23,0.36381799,68,120,58,120,64,120,1,1,1,1,1,1,0,0,0,0,0,0,1,2,0,,,,,,0,,0,,2,1,3,3,3,2,3,2,1,3,2,2,1,3,1,1,2,3,5,2,6,4,14,8,2,0,0,1,1,0,0,2,1,7,2,7,3,,2,0,0,0,0,0,1,0,0,6,1,1,0,0,,1,4,0,,0,,0,,0,0,,1,2,0,,0,,0,,0,0,,1,2,0,,0,,0,,2,3,3,2,3,2,3,2,0,1,2,1,3,1,6,2,7,2,0,0,0,0,0,1,1,2,3,3,3,1,1,0,0,0,0,,0,1,,1,1,1,1,1,1,3,2,8,1,1,1,1,3,3,10,3,2,3,2,6,1,2
3730,93,24,6,1,1,29,0.885953009,64,120,83,120,89,120,1,2,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,1,1,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,4,2,7,2,2,5,3,1,0,0,0,1,0,2,1,7,2,5,3,,1,1,0,0,0,0,0,0,0,6,1,1,0,1,2,0,,0,,0,,0,,0,1,3,0,,0,,0,,0,,0,1,1,0,,0,,0,,0,,2,2,3,2,3,3,2,2,0,1,2,2,2,2,7,2,5,3,1,1,1,1,0,1,1,2,3,3,3,1,1,0,1,0,0,,0,0,,1,2,1,1,2,1,1,6,8,1,1,2,1,1,7,8,3,2,2,3,4,1,2
3731,93,24,6,1,1,21,0.282748014,93,120,96,120,112,120,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,1,1,3,3,2,3,1,3,2,2,1,1,3,3,6,2,7,4,4,7,3,0,0,1,0,1,0,2,6,6,4,7,3,,2,1,1,0,0,0,0,0,0,6,3,1,0,1,1,1,1,0,,0,,0,,1,0,,0,,0,,0,,0,,0,1,1,1,1,0,,0,,0,,3,3,1,1,2,2,2,2,0,1,3,2,2,1,7,4,7,3,1,1,0,1,0,1,0,3,3,3,3,1,1,0,0,0,0,,0,1,,1,1,1,1,1,1,3,3,10,1,1,1,1,3,3,10,4,2,3,5,7,1,1
3732,93,24,6,1,1,25,0.579831004,80,120,105,120,99,120,1,3,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,1,2,2,2,1,1,2,1,3,2,3,3,2,3,2,2,3,3,6,2,8,3,1,4,4,0,0,0,0,1,0,2,7,8,3,6,3,,1,1,1,0,0,0,0,0,0,6,3,4,0,0,,1,24,0,,0,,0,,0,0,,1,2,0,,0,,0,,0,1,1,1,1,0,,0,,0,,2,2,2,2,2,2,3,1,800,1,2,2,2,2,8,1,4,4,1,1,0,0,1,1,0,3,3,3,3,1,1,0,1,0,0,,0,0,,1,3,1,1,3,1,3,6,12,1,1,3,1,1,4,5,3,2,3,1,4,1,3
3733,93,24,6,1,1,33,1.420323014,87,120,114,120,117,120,1,1,1,2,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,,2,2,2,2,1,2,1,2,1,2,1,2,1,2,2,3,2,1,9,2,13,4,4,1,0,1,1,1,0,2,1,9,1,5,3,,2,1,1,0,0,0,0,0,0,2,1,1,0,0,,1,1,0,,0,,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,2,2,2,2,1,2,1,2,0,1,2,2,2,2,9,1,5,4,0,1,0,1,0,1,1,3,2,3,3,1,1,0,1,0,0,,0,0,,1,1,1,1,1,1,3,3,8,1,1,1,1,3,3,7,3,2,2,4,4,1,2
3735,93,24,6,1,1,26,0.515412986,90,120,111,120,111,120,1,2,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,6,1,9,4,4,4,4,0,0,1,0,1,0,2,1,9,4,5,4,,2,1,1,0,0,0,0,0,0,6,2,2,0,1,,1,,0,,0,,0,,0,1,1,1,2,0,,0,,0,,0,1,1,1,2,0,,0,,0,,3,3,2,2,2,2,4,2,0,2,3,3,3,3,9,4,5,4,1,1,1,1,0,1,0,3,3,3,3,1,1,0,0,0,0,,0,1,,1,2,1,1,2,1,3,,2,1,1,2,1,3,7,13,3,2,3,1,4,1,2
3736,93,24,6,1,1,29,1.091408968,98,120,106,120,111,120,1,2,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,3,3,2,2,2,2,3,1,3,2,3,2,3,3,2,6,1,9,2,9,5,4,1,0,0,0,1,0,2,1,8,2,6,4,,2,1,1,0,0,0,0,0,0,6,3,1,0,1,6,1,5,0,,0,,0,,0,1,2,1,2,0,,0,,0,,0,1,1,0,,0,,0,,0,,3,3,3,3,2,2,4,2,0,,3,2,3,3,9,9,5,4,1,1,0,0,0,1,0,3,2,3,3,1,1,0,1,0,0,,0,0,4,1,3,1,1,,1,1,8,2,1,1,,1,1,7,4,3,2,3,2,3,1,2
3737,93,24,6,1,1,23,0.416413993,77,120,53,120,81,120,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,,,,,,0,,0,,2,,2,2,2,2,2,1,2,3,2,3,2,3,1,3,2,3,6,3,8,2,4,5,3,1,0,0,0,1,0,2,6,7,11,5,3,,2,1,1,0,0,0,1,0,0,6,2,2,0,1,1,1,3,0,,1,5,0,,0,0,,1,1,0,,0,,0,,0,1,1,1,2,0,,1,1,0,,2,2,2,2,2,2,4,2,0,1,2,2,2,2,8,4,5,4,0,0,0,1,0,1,0,3,3,3,3,1,1,0,1,0,0,,0,0,1,1,1,1,1,1,1,3,3,14,1,1,1,1,3,3,7,3,2,3,4,7,1,2
