w2cog3pl,w2stdchn,w2stdmat,w2stdeng,w2stdtotal,w2a01,w2a03,w2a05,w2a0801,w2a16,w2a17,w2a2001,w2a2002,w2a2003,w2a2004,w2a2005,w2a2006,w2a2101a,w2a2101b,w2a2102a,w2a2102b,w2a2103a,w2a2103b,w2a2104a,w2a2104b,w2a22,w2a23,w2a27,w2a28,w2a29,w2a32,w2b18,w2b19,w2b20,w2b21,w2ba11,w2ba12,w2ba13,w2ba1400,w2ba1401,w2ba1402,w2ba1403,w2ba1404,w2ba1405,w2ba1500,w2ba1501,w2ba1502,w2ba1503,w2ba1504,w2ba1505,w2ba1701,w2ba1702,w2ba1703,w2ba1704,w2ba1705,w2ba1706,w2ba18,w2ba21,w2ba24,w2ba2601,w2ba2602,w2ba2603,w2ba2604,w2ba29,w2ba30,w2ba31,w2ba32,w2bb15,w2bb16,w2bb17,w2bb18,w2bb19,w2bb20,w2bc0201,w2bc0202,w2bc0203,w2bc0204,w2bc0205,w2bd01,w2bd02,w2be02,w2be03,w2be04,w2be06,w2be07,w2be08,w2be09,w2be11,w2be12,w2be13,w2be15,w2be16,w2be17,w2be18,w2be23,w2be24,w2ba09,w2ba10
0.42693001,0.593894838,0.622339599,0.651569873,0.685359622,0,0,0,1,1,0,3,3,2,1,3,2,3,3,3,3,3,3,2,2,3,3,1,7,3,4,7,3,6,4,6,2,4,0,1,1,0,0,0,0,1,0,0,0,0,2,2,2,2,3,3,4,1,1,3,3,3,3,8,3,7,3,3,3,3,3,1,1,1,0,0,0,0,1,2,1,1,2,1,3,9,3,1,1,2,1,3,4,5,3,1,1,1
0.473035991,0.348838843,0.36977491,-0.006363532,0.231576746,0,0,1,1,1,0,3,3,1,2,3,3,2,3,2,3,1,3,3,2,3,3,2,8,3,4,8,7,7,4,6,6,6,0,1,1,0,1,0,1,0,0,0,0,0,3,3,2,3,3,3,4,0,1,2,2,1,2,8,4,5,3,3,3,3,3,1,1,1,0,0,0,0,1,,1,1,2,1,3,7,8,1,1,2,2,3,4,2,3,1,1,0
0.269317001,0.022097516,0.53815137,-0.050225759,0.212669126,0,0,0,1,1,0,2,2,2,2,2,2,,,,,,,,,3,3,4,8,3,3,,,2,4,6,1,3,0,0,1,0,0,0,1,0,0,0,0,0,2,2,2,2,3,3,4,1,1,2,2,2,3,9,3,5,3,3,3,3,3,1,1,0,0,0,0,1,1,3,1,1,3,1,3,6,8,1,1,2,2,3,4,7,3,1,1,1
0.103234001,0.103782848,-0.177448583,-0.62043471,-0.335651849,0,0,0,1,1,0,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,7,3,4,7,11,3,4,6,3,3,0,1,1,0,0,0,0,1,0,0,0,0,3,1,,1,3,3,4,1,,3,3,3,3,9,12,7,4,3,3,3,3,1,1,0,0,0,0,1,1,1,1,1,1,1,3,4,13,1,1,1,1,3,3,13,3,1,1,0
0.835264027,1.084006829,-0.303730928,0.037498695,0.118131027,1,0,0,1,1,0,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,3,2,7,1,4,8,4,5,4,5,2,2,0,0,1,0,0,0,0,0,1,0,0,0,3,2,2,2,2,3,4,1,1,2,2,2,2,7,4,5,4,3,3,3,3,1,1,1,0,0,0,0,2,2,1,1,2,2,3,7,12,1,1,2,2,3,5,12,3,,1,1
1.359740019,1.492433488,0.916998403,0.827018781,1.101327258,1,0,1,1,0,0,3,3,2,3,2,3,2,3,2,3,2,3,1,2,3,3,1,8,3,3,8,2,5,3,6,2,2,0,1,1,0,0,0,1,0,0,0,0,0,2,2,2,2,3,3,1,0,1,3,3,3,3,7,4,5,3,2,2,3,1,2,2,1,0,0,0,0,2,2,1,1,2,2,3,6,12,1,1,1,2,3,3,12,3,1,1,1
1.417247057,0.512209507,0.28558668,-0.225674667,0.137038647,0,0,0,1,1,0,3,2,2,3,2,1,2,2,3,3,3,3,2,3,3,3,3,8,3,3,8,5,5,4,6,2,3,0,1,1,0,0,0,0,1,1,0,0,0,3,2,1,3,2,3,4,0,1,3,3,3,3,6,4,5,3,3,3,3,3,1,1,1,0,0,0,0,1,2,1,1,2,1,3,7,6,1,1,2,2,3,3,7,2,1,0,0
1.526548982,0.920636165,0.580245484,0.607707646,0.723174862,0,0,0,0,0,1,3,3,2,2,2,3,2,3,1,2,1,2,1,1,2,3,1,8,4,4,9,2,6,4,6,3,3,0,0,1,0,0,0,0,0,1,0,0,0,3,3,3,3,3,3,4,1,2,1,2,1,3,9,4,6,3,1,3,3,3,1,1,0,0,0,0,1,1,3,1,1,3,1,1,3,1,1,1,3,1,3,3,6,3,1,,0
0.432974011,0.348838843,0.411869025,0.388396511,0.420652944,1,0,0,1,1,0,3,3,1,2,2,2,2,2,2,2,2,2,3,3,3,3,2,8,2,3,8,2,5,3,6,3,4,0,1,1,0,0,0,0,0,1,0,0,0,3,2,2,2,2,3,4,0,1,3,3,3,2,8,1,5,3,3,3,3,3,1,1,1,0,0,0,0,2,2,1,1,2,2,1,7,2,1,1,2,2,3,7,2,3,1,1,1
1.552170038,0.67558017,0.580245484,0.169085376,0.477375804,0,0,0,1,1,0,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,10,1,4,9,2,5,4,6,3,3,0,1,1,0,0,0,1,0,0,0,0,0,2,2,2,2,3,3,2,0,1,2,2,2,2,8,1,5,3,3,3,3,3,1,1,1,0,0,0,0,1,3,1,1,3,1,1,7,2,1,1,3,1,1,8,5,3,1,1,1
