w2a01,w2a03,w2a05,w2a0801,w2a16,w2a17,w2stdtotal
0,0,1,1,1,0,-2.623473848
0,0,0,1,1,0,-2.585658608
0,0,1,1,0,0,-2.103514303
1,0,0,1,1,0,-0.468005187
1,0,1,1,1,0,0.789351531
1,0,1,1,1,0,0.515191044
0,0,1,1,1,0,0.385024749
1,0,1,1,1,0,-2.075152873
0,0,1,1,1,0,0.158133311
0,0,1,1,1,0,0.129771881
0,0,0,1,1,0,0.489016658
1,0,0,1,0,1,-0.543635667
0,0,1,1,1,0,-0.638173766
0,0,1,1,1,0,0.574100947
1,0,0,1,1,0,0.335568655
0,0,0,1,1,0,-2.273682881
0,0,0,1,1,0,0.723174862
1,0,1,1,1,0,0.195948551
0,0,1,1,1,0,-0.931241873
0,0,0,1,1,0,0.867169055
0,0,1,1,1,0,0.28103284
0,0,1,1,1,0,-2.056245253
